iter	Passed	Remaining
398	4843	7295
399	4850	7275
400	4856	7254
401	4864	7236
402	4872	7218
403	4879	7198
404	4886	7178
405	4892	7158
406	4899	7138
407	4906	7118
408	4912	7098
409	4918	7078
410	4925	7059
411	4932	7040
412	4939	7020
413	4946	7002
414	4954	6983
415	4960	6964
416	4967	6945
417	4974	6926
418	4980	6906
419	4987	6888
420	4994	6869
421	5001	6850
422	5008	6831
423	5015	6812
424	5022	6794
425	5029	6776
426	5036	6757
427	5043	6740
428	5050	6721
429	5056	6703
430	5063	6684
431	5070	6666
432	5078	6650
433	5085	6632
434	5093	6615
435	5100	6598
436	5108	6580
437	5115	6563
438	5122	6545
439	5129	6528
440	5136	6510
441	5143	6493
442	5150	6475
443	5157	6458
444	5164	6441
445	5171	6424
446	5179	6408
447	5186	6390
448	5194	6374
449	5200	6356
450	5208	6340
451	5215	6323
452	5223	6306
453	5229	6289
454	5237	6273
455	5244	6256
456	5252	6241
457	5259	6224
458	5267	6208
459	5274	6191
460	5282	6175
461	5289	6159
462	5297	6143
463	5304	6127
464	5310	6110
465	5317	6093
466	5325	6078
467	5332	6061
468	5338	6044
469	5345	6027
470	5351	6011
471	5358	5994
472	5365	5978
473	5372	5961
474	5379	5945
475	5385	5928
476	5392	5912
477	5398	5895
478	5405	5879
479	5412	5863
480	5419	5847
481	5425	5831
482	5432	5815
483	5439	5798
484	5445	5782
485	5451	5766
486	5458	5749
487	5465	5734
488	5471	5718
489	5478	5702
490	5485	5687
491	5492	5671
492	5499	5655
493	5506	5640
494	5514	5626
495	5522	5611
496	5529	5596
497	5535	5580
498	5543	5565
499	5549	5549
500	5555	5533
501	5562	5517
502	5568	5502
503	5575	5486
504	5581	5471
505	5588	5456
506	5595	5440
507	5602	5425
508	5609	5410
509	5615	5395
510	5622	5380
511	5629	5365
512	5635	5350
513	5643	5335
514	5650	5321
515	5658	5307
516	5665	5292
517	5672	5278
518	5679	5263
519	5687	5249
520	5694	5235
521	5701	5221
522	5708	5206
523	5715	5191
524	5722	5177
525	5729	5163
526	5736	5148
527	5742	5133
528	5749	5119
529	5756	5105
530	5763	5090
531	5771	5076
532	5778	5062
533	5785	5048
534	5792	5034
535	5799	5020
536	5805	5005
537	5812	4991
538	5819	4977
539	5826	4963
540	5833	4949
541	5840	4935
542	5849	4923
543	5856	4909
544	5863	4894
545	5869	4880
546	5875	4866
547	5882	4852
548	5889	4838
549	5896	4824
550	5904	4811
551	5911	4797
552	5917	4783
553	5924	4769
554	5931	4755
555	5937	4741
556	5943	4727
557	5950	4713
558	5957	4700
559	5964	4686
560	5971	4672
561	5978	4659
562	5984	4645
563	5991	4631
