iter	Logloss
0	0.6280927022
1	0.5825823975
2	0.5470615641
3	0.5188787333
4	0.4911660258
5	0.4735421753
6	0.457219696
7	0.4450994873
8	0.4333524577
9	0.420221405
10	0.410328064
11	0.4005755107
12	0.3924188995
13	0.387216746
14	0.376264445
15	0.3702161153
16	0.3653324636
17	0.3582394663
18	0.3540633647
19	0.3494725037
20	0.3430509694
21	0.337365214
22	0.3329034932
23	0.3290888214
24	0.3239355977
25	0.3188195292
26	0.3151548258
27	0.3087477112
28	0.30438591
29	0.3014874268
30	0.299018987
31	0.2955433655
32	0.2933804321
33	0.2905082194
34	0.287272288
35	0.2816642761
36	0.2757518514
37	0.2720019786
38	0.2693012746
39	0.265003713
40	0.2630508931
41	0.2613515727
42	0.2572937012
43	0.2543642171
44	0.252074941
45	0.2486339823
46	0.2464781189
47	0.2452210236
48	0.2437068176
49	0.2420928446
50	0.2377722422
51	0.2358950297
52	0.2339322154
53	0.2312099965
54	0.2298451233
55	0.2280806478
56	0.2271914164
57	0.2261973063
58	0.2244791412
59	0.2222949727
60	0.2175299072
61	0.2167564901
62	0.2136769104
63	0.2122255961
64	0.2078754679
65	0.2055229696
66	0.2027238464
67	0.2009721756
68	0.1990297572
69	0.1958579508
70	0.1922568003
71	0.1896967189
72	0.1875398254
73	0.1855739594
74	0.1840722402
75	0.1814487839
76	0.1794352722
77	0.1758102926
78	0.1742031988
79	0.172232488
80	0.1693058141
81	0.1671348826
82	0.165185674
83	0.1638978704
84	0.1627525075
85	0.1610030492
86	0.1589544805
87	0.1562315623
88	0.1548064677
89	0.1535720825
90	0.1523369344
91	0.1505849965
92	0.1478431829
93	0.1451007589
94	0.1446869532
95	0.1432457225
96	0.1412411245
97	0.1401583099
98	0.1382663218
99	0.1374494934
100	0.1365871175
101	0.1358804703
102	0.1349863434
103	0.1326430511
104	0.1310523478
105	0.1287582397
106	0.1276753743
107	0.1258914185
108	0.1241996765
109	0.1219060644
110	0.1198171488
111	0.1196351242
112	0.1184320323
113	0.1171631622
114	0.1159842682
115	0.1148584874
116	0.1126983134
117	0.111606013
118	0.1114652125
119	0.1102491506
120	0.1094434484
121	0.1080164083
122	0.106305631
123	0.1043250529
124	0.1031895065
125	0.1022979991
126	0.1012778219
127	0.1003871218
128	0.09860467275
129	0.09777031581
130	0.09638875961
131	0.09540243785
132	0.09399805705
133	0.09391192754
134	0.09289778392
135	0.09179430644
136	0.09058923721
137	0.08981367747
138	0.08877128601
139	0.08809290568
140	0.08748942057
141	0.08643885295
142	0.08609185537
143	0.08547168732
144	0.08455560048
145	0.08363852183
146	0.08303929647
147	0.08198319753
148	0.08119911194
149	0.08109828949
150	0.08083242416
151	0.08067612966
152	0.0796943601
153	0.0786284701
154	0.07802415212
155	0.07763376872
156	0.07636882782
157	0.07562094371
158	0.07486883799
159	0.07381808599
160	0.07324385961
161	0.07288490931
162	0.07148422241
163	0.0707935969
164	0.07021597544
165	0.06909310659
166	0.06845925649
167	0.06789480845
168	0.0672399648
169	0.06664916356
170	0.06582027435
171	0.06493040721
172	0.06382960002
173	0.06329188665
174	0.06262453079
175	0.0620171229
176	0.06137324015
177	0.06071621577
178	0.05994023641
179	0.0595402209
180	0.05920229594
181	0.05853439331
182	0.05795588175
183	0.05741137187
184	0.05702481588
185	0.0556590716
186	0.05500046412
187	0.05463007609
188	0.05431158702
189	0.05416706085
190	0.05384593964
191	0.05357487361
192	0.05300320625
193	0.05239031474
194	0.05185773214
195	0.05152626673
196	0.0508399264
197	0.0503278478
198	0.0499050808
199	0.04959068298
200	0.04913929621
201	0.04864769936
202	0.04828358968
203	0.04795424779
204	0.04750155767
205	0.0470915254
206	0.04661742528
207	0.04631076495
208	0.04596677144
209	0.04570028305
210	0.04544887225
211	0.04511779785
212	0.04475828807
213	0.04417421977
214	0.04397435506
215	0.04367419879
216	0.04355520248
217	0.04301694234
218	0.04264339765
219	0.04246509552
220	0.04212737401
221	0.04176446597
222	0.04165352503
223	0.04117348989
224	0.04070900599
225	0.04027896881
226	0.04000072161
227	0.03967556318
228	0.03931900024
229	0.03900977135
230	0.03886241277
231	0.03869319916
232	0.03839829445
233	0.0382414182
234	0.03781172752
235	0.03746567408
236	0.03726832072
237	0.0371304671
238	0.03693274498
239	0.03668242455
240	0.03649003347
241	0.03620848974
242	0.03559519768
243	0.03537536303
244	0.03521183332
245	0.03504760106
246	0.03498920759
247	0.03482138952
248	0.03467564583
249	0.03436413447
250	0.03422628721
251	0.03404745738
252	0.03389253616
253	0.03364809672
254	0.03337038994
255	0.03313399315
256	0.03269431432
257	0.03249420802
258	0.03236210505
259	0.03226830482
260	0.03215868314
261	0.03189178467
262	0.03168136915
263	0.0315036869
264	0.03126006444
265	0.03097431819
266	0.03078325272
267	0.03057315191
268	0.03050609589
269	0.03026942571
270	0.03015461604
271	0.03006902059
272	0.02992609024
273	0.02963791847
274	0.02948089282
275	0.0294111379
276	0.02919406573
277	0.02899703344
278	0.0288824145
279	0.02865824382
280	0.02864165942
281	0.02859201431
282	0.02842840195
283	0.02829042435
284	0.02819375992
285	0.02804423968
286	0.0280025355
287	0.02784962972
288	0.02767880122
289	0.02733223915
290	0.02726346016
291	0.02713387807
292	0.02698318481
293	0.02681270599
294	0.02674067179
295	0.02666803042
296	0.02648728689
297	0.02621771971
298	0.02598718007
299	0.02571765423
300	0.02557758013
301	0.02537991683
302	0.02532898744
303	0.02517601013
304	0.02503714244
305	0.0249616305
306	0.02480352402
307	0.02463258743
308	0.02451699098
309	0.02446115176
310	0.02434377511
